discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name,country_code,year
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Stefania CONSTANTINI,Italy,ITA,2022
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Amos MOSANER,Italy,ITA,2022
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Kristin SKASLIEN,Norway,NOR,2022
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Magnus NEDREGOTTEN,Norway,NOR,2022
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Almida DE VAL,Sweden,SWE,2022
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Oskar ERIKSSON,Sweden,SWE,2022
Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,,Great Britain,GBR,2022
Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,,Japan,JPN,2022
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,,Sweden,SWE,2022
Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,,Sweden,SWE,2022
Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,,Great Britain,GBR,2022
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,,Mikael KINGSBURY,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,,Walter WALLBERG,Sweden,SWE,2022
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,,Ikuma HORISHIMA,Japan,JPN,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,,Nico PORTEOUS,New Zealand,NZL,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,,David WISE,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,,Alex FERREIRA,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,,Henrik HARLAUT,Sweden,SWE,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,,Birk RUUD,Norway,NOR,2022
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,,Colby STEVENSON,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,,Sergey RIDZIK,ROC,ROC,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,,Alex FIVA,Switzerland,SUI,2022
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,,Ryan REGEZ,Switzerland,SUI,2022
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,,Mathilde GREMAUD,Switzerland,SUI,2022
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,,Tess LEDEUX,France,FRA,2022
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,,Jaelin KAUF,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,,Jakara ANTHONY,Australia,AUS,2022
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,,Anastasiia SMIRNOVA,ROC,ROC,2022
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,,Marielle THOMPSON,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,,Sandra NAESLUND,Sweden,SWE,2022
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,,Daniela MAIER,Germany,GER,2022
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,,Ilia BUROV,ROC,ROC,2022
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,,Guangpu QI,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,,Oleksandr ABRAMENKO,Ukraine,UKR,2022
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,,Hanna HUSKOVA,Belarus,BLR,2022
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,,Mengtao XU,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,,Megan NICK,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,,Cassie SHARPE,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,,Rachel KARKER,Canada,CAN,2022
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,,Ailing Eileen GU,People's Republic of China,CHN,2022
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,,Mathilde GREMAUD,Switzerland,SUI,2022
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,,Kelly SILDARU,Estonia,EST,2022
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,,Nicholas GOEPPER,United States of America,USA,2022
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,,Jesper TJADER,Sweden,SWE,2022
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,,Alexander HALL,United States of America,USA,2022
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,,Suzanne SCHULTING,Netherlands,NED,2022
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,,Kim BOUTIN,Canada,CAN,2022
